case_id,start_time,end_time,Role,Activity,Resource
1,2010-12-31T13:00:00,2010-12-31T13:37:00,Requester, Create Purchase Requisition,Kim Passa
1,2010-12-31T18:37:00,2010-12-31T18:45:00,Requester, Create Request for Quotation Requester,Kim Passa
1,2010-12-31T19:41:00,2010-12-31T19:55:00,Requester, Analyze Request for Quotation,Karel de Groot
1,2011-01-01T00:43:00,2011-01-01T01:09:00,Requester, Send Request for Quotation to Supplier,Karel de Groot
1,2011-01-01T01:32:00,2011-01-01T05:03:00,Requester, Create Quotation comparison Map,Magdalena Predutta
1,2011-01-01T11:44:00,2011-01-01T12:13:00,Requester, Analyze Quotation comparison Map,Immanuel Karagianni
1,2011-01-01T12:13:00,2011-01-01T12:13:00,Requester, Choose best option,Tesca Lobes
1,2011-01-01T14:22:00,2011-01-01T22:20:00,Requester, Settle conditions with supplier,Francois de Perrier
1,2011-01-01T22:58:00,2011-01-01T23:10:00,Requester, Create Purchase Order,Karel de Groot
1,2011-01-02T03:09:00,2011-01-02T03:43:00,Requester, Confirm Purchase Order,Sean Manney
1,2011-01-02T09:49:00,2011-01-02T16:37:00,Requester, Deliver Goods Services,Sean Manney
1,2011-01-03T00:20:00,2011-01-03T00:21:00,Requester, Release Purchase Order,Elvira Lores
1,2011-01-03T08:09:00,2011-01-03T08:10:00,Requester, Approve Purchase Order for payment,Karel de Groot
1,2011-01-03T13:54:00,2011-01-03T13:54:00,Requester, Send invoice,Kiu Kan
1,2011-01-04T04:08:00,2011-01-04T04:13:00,Requester, Release Supplier's Invoice,Karalda Nimwada
1,2011-01-04T04:13:00,2011-01-04T04:13:00,Requester, Authorize Supplier's Invoice payment,Karalda Nimwada
1,2011-01-04T04:22:00,2011-01-04T04:31:00,Requester, Pay invoice,Pedro Alvares
2,2010-12-31T13:16:00,2010-12-31T13:29:00,Requester, Create Purchase Requisition,Immanuel Karagianni
2,2010-12-31T21:16:00,2010-12-31T21:26:00,Requester, Create Request for Quotation Requester,Alberto Duport
2,2010-12-31T22:34:00,2010-12-31T22:38:00,Requester, Analyze Request for Quotation,Karel de Groot
2,2010-12-31T23:16:00,2010-12-31T23:21:00,Requester, Amend Request for Quotation Requester,Christian Francois
2,2011-01-01T00:15:00,2011-01-01T00:48:00,Requester, Analyze Request for Quotation,Magdalena Predutta
2,2011-01-01T01:33:00,2011-01-01T01:39:00,Requester, Amend Request for Quotation Requester,Esmana Liubiata
2,2011-01-01T02:28:00,2011-01-01T02:38:00,Requester, Analyze Request for Quotation,Karel de Groot
2,2011-01-01T04:18:00,2011-01-01T04:40:00,Requester, Send Request for Quotation to Supplier,Francois de Perrier
2,2011-01-01T04:55:00,2011-01-01T05:43:00,Requester, Create Quotation comparison Map,Karel de Groot
2,2011-01-01T12:33:00,2011-01-01T12:44:00,Requester, Analyze Quotation comparison Map,Esmana Liubiata
2,2011-01-01T12:44:00,2011-01-01T12:44:00,Requester, Choose best option,Fjodor Kowalski
2,2011-01-01T15:15:00,2011-01-02T04:07:00,Requester, Settle conditions with supplier,Magdalena Predutta
2,2011-01-02T05:21:00,2011-01-02T05:31:00,Requester, Create Purchase Order,Magdalena Predutta
2,2011-01-02T09:23:00,2011-01-02T09:29:00,Requester, Confirm Purchase Order,Esmeralda Clay
2,2011-01-02T16:15:00,2011-01-04T03:53:00,Requester, Deliver Goods Services,Esmeralda Clay
2,2011-01-04T12:01:00,2011-01-04T12:02:00,Requester, Release Purchase Order,Elvira Lores
2,2011-01-04T22:03:00,2011-01-04T22:04:00,Requester, Approve Purchase Order for payment,Karel de Groot
2,2011-01-05T03:50:00,2011-01-05T03:50:00,Requester, Send invoice,Esmeralda Clay
2,2011-01-05T18:04:00,2011-01-05T18:07:00,Requester, Release Supplier's Invoice,Pedro Alvares
2,2011-01-05T18:38:00,2011-01-05T18:58:00,Requester, Settle dispute with supplier Financial Manager,Karalda Nimwada
2,2011-01-05T18:58:00,2011-01-05T18:58:00,Requester, Authorize Supplier's Invoice payment,Pedro Alvares
2,2011-01-05T19:21:00,2011-01-05T19:32:00,Requester, Pay invoice,Karalda Nimwada
